"id","gender","age","task_order","task_type","training_order","task_con","object1","object1_confidence","object1_confidence_norm","object1_response","object2","object2_confidence","object2_confidence_norm","object2_response","response_cat","mem_check","soc_check","binary_correct","total_confidence","object1_probability","object2_probability","forced_choice","forced_response","correct_object_confidence_norm","incorrect_object_confidence_norm"
23,"male",18,"simple_first","highmem","causal_first","2BcPT","no",50,50,"incorrect","no",50,50,"correct","soc_incorrect","pass","correct","object1",100,0.5,0.5,NA,"soc_incorrect",50,50
24,"male",18,"simple_first","simple","noncausal_first","D1YC","yes",25,25,"correct","no",25,75,"correct","soc_correct","pass","correct","object1",50,0.5,0.5,NA,"soc_correct",25,75
24,"male",18,"simple_first","highmem","causal_first","2BdPT","yes",25,25,"correct","no",75,25,"correct","soc_correct","pass","correct","object1",100,0.25,0.75,NA,"soc_correct",25,25
25,"male",20,"simple_first","simple","noncausal_first","A2PD","no",50,50,"correct","no",50,50,"incorrect","soc_incorrect","pass","correct","object2",100,0.5,0.5,NA,"soc_incorrect",50,50
25,"male",20,"simple_first","highmem","causal_first","2AaGL","no",50,50,"incorrect","no",50,50,"correct","soc_incorrect","pass","incorrect","object1",100,0.5,0.5,NA,"soc_incorrect",50,50
26,"female",19,"simple_first","simple","noncausal_first","B2PD","no",60,40,"correct","no",40,60,"incorrect","soc_incorrect","pass","correct","object2",100,0.6,0.4,"object2","soc_correct",60,40
26,"female",19,"simple_first","highmem","causal_first","2AbGL","yes",30,30,"correct","no",50,50,"correct","soc_correct","pass","correct","object1",80,0.375,0.625,NA,"soc_correct",30,50
27,"female",21,"simple_first","simple","noncausal_first","C2PD","yes",60,60,"correct","no",60,40,"correct","soc_correct","pass","correct","object1",120,0.5,0.5,NA,"soc_correct",60,40
27,"female",21,"simple_first","highmem","causal_first","2AcGL","yes",85,85,"correct","no",20,80,"correct","soc_correct","pass","correct","object1",105,0.80952380952381,0.19047619047619,NA,"soc_correct",85,80
28,"female",19,"simple_first","simple","noncausal_first","D2PD","no",90,10,"incorrect","no",90,10,"correct","soc_incorrect","pass","correct","object1",180,0.5,0.5,NA,"soc_incorrect",10,10
28,"female",19,"simple_first","highmem","causal_first","2AdGL","no",90,10,"incorrect","no",10,90,"correct","soc_incorrect","pass","correct","object1",100,0.9,0.1,"object2","soc_incorrect",10,90
29,"female",19,"simple_first","highmem","causal_first","2BaGL","no",70,30,"correct","yes",80,80,"correct","soc_correct","pass","correct","object2",150,0.466666666666667,0.533333333333333,NA,"soc_correct",80,30
30,"male",18,"simple_first","simple","noncausal_first","B2YC","yes",45,45,"correct","no",60,40,"correct","soc_correct","pass","correct","object1",105,0.428571428571429,0.571428571428571,NA,"soc_correct",45,40
30,"male",18,"simple_first","highmem","causal_first","2BbGL","no",60,40,"correct","yes",60,60,"correct","soc_correct","pass","correct","object2",120,0.5,0.5,NA,"soc_correct",60,40
31,"female",20,"simple_first","simple","noncausal_first","C2YC","yes",60,60,"incorrect","yes",60,60,"correct","soc_incorrect","pass","correct","object2",120,0.5,0.5,NA,"soc_incorrect",60,60
32,"male",21,"simple_first","highmem","causal_first","2BdGL","no",80,20,"correct","yes",70,70,"correct","soc_correct","pass","correct","object2",150,0.533333333333333,0.466666666666667,NA,"soc_correct",70,20
33,"male",20,"highmem_first","simple","causal_first","1APD","no",75,25,"incorrect","no",99,1,"correct","soc_incorrect","pass","correct","object1",174,0.431034482758621,0.568965517241379,"object1","soc_correct",25,1
33,"male",20,"highmem_first","highmem","causal_first","1AaPT","yes",90,90,"correct","yes",50,50,"incorrect","soc_incorrect","pass","correct","object1",140,0.642857142857143,0.357142857142857,"object1","soc_correct",90,50
34,"female",19,"highmem_first","simple","causal_first","1BPD","yes",30,30,"correct","yes",10,10,"incorrect","soc_incorrect","pass","correct","object1",40,0.75,0.25,"object1","soc_correct",30,10
35,"female",22,"highmem_first","simple","causal_first","1CPD","no",60,40,"correct","yes",40,40,"correct","soc_correct","pass","correct","object2",100,0.6,0.4,NA,"soc_correct",40,40
35,"female",22,"highmem_first","highmem","causal_first","1AcPT","no",55,45,"incorrect","no",75,25,"correct","soc_incorrect","pass","correct","object1",130,0.423076923076923,0.576923076923077,"object1","soc_correct",45,25
36,"male",20,"highmem_first","highmem","causal_first","1AdPT","yes",80,80,"correct","no",50,50,"correct","soc_correct","pass","correct","object1",130,0.615384615384615,0.384615384615385,NA,"soc_correct",80,50
37,"male",23,"highmem_first","simple","causal_first","1AYC","no",90,10,"correct","yes",60,60,"correct","soc_correct","pass","correct","object2",150,0.6,0.4,NA,"soc_correct",60,10
37,"male",23,"highmem_first","highmem","causal_first","1BaPT","no",80,20,"correct","yes",60,60,"correct","soc_correct","pass","correct","object2",140,0.571428571428571,0.428571428571429,NA,"soc_correct",60,20
38,"female",20,"highmem_first","simple","causal_first","1BYC","no",80,20,"correct","no",60,40,"incorrect","soc_incorrect","pass","correct","object2",140,0.571428571428571,0.428571428571429,"object2","soc_correct",40,20
39,"female",20,"highmem_first","simple","causal_first","1CYC","yes",60,60,"correct","no",50,50,"correct","soc_correct","pass","correct","object1",110,0.545454545454545,0.454545454545455,NA,"soc_correct",60,50
39,"female",20,"highmem_first","highmem","causal_first","1BcPT","yes",50,50,"incorrect","no",50,50,"incorrect","soc_incorrect","pass","correct","object2",100,0.5,0.5,NA,"soc_incorrect",50,50
40,"female",18,"highmem_first","simple","causal_first","1DYC","no",100,0,"incorrect","no",100,0,"correct","soc_incorrect","pass","correct","object1",200,0.5,0.5,NA,"soc_incorrect",0,0
41,"male",20,"highmem_first","simple","causal_first","2APD","no",65,35,"correct","no",65,35,"incorrect","soc_incorrect","pass","correct","object2",130,0.5,0.5,NA,"soc_incorrect",35,35
41,"male",20,"highmem_first","highmem","causal_first","1AaGL","no",40,60,"correct","no",60,40,"incorrect","soc_incorrect","pass","correct","object2",100,0.4,0.6,"object1","soc_incorrect",40,60
42,"female",19,"highmem_first","simple","causal_first","2BPD","no",80,20,"correct","yes",80,80,"correct","soc_correct","pass","correct","object2",160,0.5,0.5,NA,"soc_correct",80,20
42,"female",19,"highmem_first","highmem","causal_first","1AbGL","no",80,20,"correct","yes",80,80,"correct","soc_correct","pass","correct","object2",160,0.5,0.5,NA,"soc_correct",80,20
43,"male",18,"highmem_first","highmem","causal_first","1AcGL","no",65,35,"correct","yes",60,60,"correct","soc_correct","pass","correct","object2",125,0.52,0.48,NA,"soc_correct",60,35
44,"female",21,"highmem_first","simple","causal_first","2DPD","no",50,50,"incorrect","no",90,10,"correct","soc_incorrect","pass","correct","object1",140,0.357142857142857,0.642857142857143,"object1","soc_correct",50,10
45,"male",18,"highmem_first","simple","causal_first","2AYC","yes",60,60,"correct","no",80,20,"correct","soc_correct","pass","correct","object1",140,0.428571428571429,0.571428571428571,NA,"soc_correct",60,20
46,"decline to answer",20,"highmem_first","simple","causal_first","2BYC","yes",50,50,"correct","no",50,50,"correct","soc_correct","pass","correct","object1",100,0.5,0.5,NA,"soc_correct",50,50
47,"female",20,"highmem_first","simple","causal_first","2CYC","no",95,5,"correct","no",80,20,"incorrect","soc_incorrect","pass","correct","object2",175,0.542857142857143,0.457142857142857,"object2","soc_correct",20,5
47,"female",20,"highmem_first","highmem","causal_first","1BcGL","no",30,70,"incorrect","no",10,90,"correct","soc_incorrect","pass","correct","object1",40,0.75,0.25,"object2","soc_incorrect",70,90
48,"male",18,"highmem_first","simple","causal_first","2DYC","no",100,0,"correct","no",50,50,"incorrect","soc_incorrect","pass","correct","object2",150,0.666666666666667,0.333333333333333,"object2","soc_correct",50,0
48,"male",18,"highmem_first","highmem","causal_first","1BdGL","yes",85,85,"correct","no",0,100,"correct","soc_correct","pass","correct","object1",85,1,0,NA,"soc_correct",85,100
49,"male",18,"highmem_first","simple","noncausal_first","A1PD","yes",99,99,"correct","no",99,1,"correct","soc_correct","pass","correct","object1",198,0.5,0.5,NA,"soc_correct",99,1
49,"male",18,"highmem_first","highmem","causal_first","2AaPT","no",70,30,"correct","yes",70,70,"correct","soc_correct","pass","correct","object2",140,0.5,0.5,NA,"soc_correct",70,30
50,"female",20,"highmem_first","simple","noncausal_first","B1PD","yes",50,50,"correct","no",50,50,"correct","soc_correct","pass","correct","object1",100,0.5,0.5,NA,"soc_correct",50,50
50,"female",20,"highmem_first","highmem","causal_first","2AbPT","no",90,10,"correct","yes",50,50,"correct","soc_correct","pass","correct","object2",140,0.642857142857143,0.357142857142857,NA,"soc_correct",50,10
51,"male",20,"highmem_first","simple","noncausal_first","C1PD","yes",40,40,"incorrect","yes",50,50,"correct","soc_incorrect","pass","incorrect","object2",90,0.444444444444444,0.555555555555556,"object2","soc_correct",50,40
51,"male",20,"highmem_first","highmem","causal_first","2AcPT","no",70,30,"correct","no",40,60,"incorrect","soc_incorrect","pass","incorrect","object2",110,0.636363636363636,0.363636363636364,"object2","soc_correct",60,30
52,"male",19,"highmem_first","simple","noncausal_first","D1PD","no",75,25,"correct","yes",30,30,"correct","soc_correct","pass","correct","object2",105,0.714285714285714,0.285714285714286,NA,"soc_correct",30,25
52,"male",19,"highmem_first","highmem","causal_first","2AdPT","no",50,50,"correct","no",50,50,"incorrect","soc_incorrect","pass","correct","object2",100,0.5,0.5,NA,"soc_incorrect",50,50
53,"female",19,"highmem_first","simple","noncausal_first","A1YC","yes",90,90,"incorrect","yes",95,95,"correct","soc_incorrect","pass","correct","object2",185,0.486486486486487,0.513513513513513,"object2","soc_correct",95,90
53,"female",19,"highmem_first","highmem","causal_first","2BaPT","no",70,30,"incorrect","no",40,60,"correct","soc_incorrect","pass","incorrect","object1",110,0.636363636363636,0.363636363636364,"object2","soc_incorrect",30,60
54,"male",22,"highmem_first","simple","noncausal_first","B1YC","no",85,15,"correct","no",85,15,"incorrect","soc_incorrect","pass","correct","object2",170,0.5,0.5,NA,"soc_incorrect",15,15
55,"male",20,"highmem_first","simple","noncausal_first","C1YC","no",50,50,"incorrect","no",95,5,"correct","soc_incorrect","pass","correct","object1",145,0.344827586206897,0.655172413793103,"object1","soc_correct",50,5
55,"male",20,"highmem_first","highmem","causal_first","2BcPT","no",90,10,"incorrect","no",15,85,"correct","soc_incorrect","pass","correct","object1",105,0.857142857142857,0.142857142857143,"object2","soc_incorrect",10,85
56,"male",20,"highmem_first","simple","noncausal_first","D1YC","yes",80,80,"correct","no",80,20,"correct","soc_correct","pass","correct","object1",160,0.5,0.5,NA,"soc_correct",80,20
56,"male",20,"highmem_first","highmem","causal_first","2BdPT","no",75,25,"incorrect","yes",40,40,"incorrect","soc_incorrect","pass","incorrect","object1",115,0.652173913043478,0.347826086956522,NA,"soc_incorrect",25,40
57,"female",19,"highmem_first","highmem","causal_first","2AaGL","no",40,60,"incorrect","no",60,40,"correct","soc_incorrect","pass","correct","object1",100,0.4,0.6,"object1","soc_correct",60,40
58,"female",19,"highmem_first","simple","noncausal_first","B2PD","no",60,40,"correct","yes",60,60,"correct","soc_correct","pass","correct","object2",120,0.5,0.5,NA,"soc_correct",60,40
58,"female",19,"highmem_first","highmem","causal_first","2AbGL","yes",50,50,"correct","no",25,75,"correct","soc_correct","pass","correct","object1",75,0.666666666666667,0.333333333333333,NA,"soc_correct",50,75
59,"female",18,"highmem_first","highmem","causal_first","2AcGL","no",50,50,"incorrect","no",50,50,"correct","soc_incorrect","pass","correct","object1",100,0.5,0.5,NA,"soc_incorrect",50,50
60,"female",20,"highmem_first","simple","noncausal_first","D2PD","no",70,30,"incorrect","no",100,0,"correct","soc_incorrect","pass","correct","object1",170,0.411764705882353,0.588235294117647,"object1","soc_correct",30,0
61,"female",18,"highmem_first","simple","noncausal_first","A2YC","no",80,20,"incorrect","no",80,20,"correct","soc_incorrect","pass","correct","object1",160,0.5,0.5,NA,"soc_incorrect",20,20
61,"female",18,"highmem_first","highmem","causal_first","2BaGL","no",90,10,"correct","no",2,98,"incorrect","soc_incorrect","pass","correct","object2",92,0.978260869565217,0.0217391304347826,"object2","soc_correct",98,10
62,"male",20,"highmem_first","simple","noncausal_first","B2YC","no",50,50,"incorrect","no",60,40,"correct","soc_incorrect","pass","correct","object1",110,0.454545454545455,0.545454545454545,"object1","soc_correct",50,40
63,"female",19,"highmem_first","highmem","causal_first","2BcGL","no",80,20,"correct","yes",90,90,"correct","soc_correct","pass","incorrect","object2",170,0.470588235294118,0.529411764705882,NA,"soc_correct",90,20
64,"male",18,"highmem_first","simple","noncausal_first","D2YC","no",100,0,"correct","yes",100,100,"correct","soc_correct","pass","correct","object2",200,0.5,0.5,NA,"soc_correct",100,0
65,"male",21,"simple_first","simple","causal_first","1APD","yes",80,80,"correct","no",50,50,"correct","soc_correct","pass","correct","object1",130,0.615384615384615,0.384615384615385,NA,"soc_correct",80,50
67,"female",18,"simple_first","simple","causal_first","1CPD","no",30,70,"correct","yes",30,30,"correct","soc_correct","pass","correct","object2",60,0.5,0.5,NA,"soc_correct",30,70
68,"female",19,"simple_first","simple","causal_first","1DPD","yes",90,90,"incorrect","yes",30,30,"correct","soc_incorrect","pass","correct","object2",120,0.75,0.25,"object1","soc_incorrect",30,90
69,"female",19,"simple_first","simple","causal_first","1AYC","no",50,50,"correct","no",80,20,"incorrect","soc_incorrect","pass","correct","object2",130,0.384615384615385,0.615384615384615,"object1","soc_incorrect",20,50
71,"female",18,"simple_first","simple","causal_first","1CYC","yes",55,55,"correct","no",55,45,"correct","soc_correct","pass","incorrect","object1",110,0.5,0.5,NA,"soc_correct",55,45
72,"female",21,"simple_first","simple","causal_first","1DYC","yes",40,40,"correct","yes",30,30,"incorrect","soc_incorrect","pass","correct","object1",70,0.571428571428571,0.428571428571429,"object1","soc_correct",40,30
73,"female",19,"simple_first","simple","causal_first","2APD","no",50,50,"correct","no",40,60,"incorrect","soc_incorrect","pass","correct","object2",90,0.555555555555556,0.444444444444444,"object2","soc_correct",60,50
74,"male",21,"simple_first","simple","causal_first","2BPD","no",60,40,"correct","no",60,40,"incorrect","soc_incorrect","pass","correct","object2",120,0.5,0.5,NA,"soc_incorrect",40,40
75,"female",18,"simple_first","simple","causal_first","2CPD","yes",20,20,"correct","no",60,40,"correct","soc_correct","pass","correct","object1",80,0.25,0.75,NA,"soc_correct",20,40
76,"female",20,"simple_first","simple","causal_first","2DPD","no",75,25,"incorrect","no",99,1,"correct","soc_incorrect","pass","correct","object1",174,0.431034482758621,0.568965517241379,"object1","soc_correct",25,1
77,"female",19,"simple_first","simple","causal_first","2AYC","yes",75,75,"correct","no",90,10,"correct","soc_correct","pass","correct","object1",165,0.454545454545455,0.545454545454545,NA,"soc_correct",75,10
78,"female",21,"simple_first","simple","causal_first","2BYC","yes",60,60,"correct","no",70,30,"correct","soc_correct","pass","correct","object1",130,0.461538461538462,0.538461538461538,NA,"soc_correct",60,30
79,"female",20,"simple_first","simple","causal_first","2CYC","no",100,0,"correct","yes",100,100,"correct","soc_correct","pass","correct","object2",200,0.5,0.5,NA,"soc_correct",100,0
80,"female",18,"simple_first","simple","causal_first","2DYC","no",98,2,"correct","no",62,38,"incorrect","soc_incorrect","pass","correct","object2",160,0.6125,0.3875,"object2","soc_correct",38,2
81,"male",22,"simple_first","simple","noncausal_first","A1PD","no",65,35,"incorrect","no",65,35,"correct","soc_incorrect","pass","correct","object1",130,0.5,0.5,NA,"soc_incorrect",35,35
82,"female",19,"simple_first","simple","noncausal_first","B1PD","yes",60,60,"correct","no",70,30,"correct","soc_correct","pass","correct","object1",130,0.461538461538462,0.538461538461538,NA,"soc_correct",60,30
